"Pr_total","Tas_mean","D_pr","D_pr_lm","D_tas","Model","Variant","SSP","Year","period"
1042.31979903643,10.6290402256713,0,0,0,"MPI-ESM1-2-HR","r7i1p1f1","ssp370","Hist(1992-2021)",2006
1017.53724468757,10.9949484005235,0,0,0,"MPI-ESM1-2-HR","r8i1p1f1","ssp370","Hist(1992-2021)",2006
1002.20923269148,10.8349523113442,0,0,0,"MPI-ESM1-2-HR","r9i1p1f1","ssp370","Hist(1992-2021)",2006
994.830645099126,10.8917736176468,0,0,0,"MRI-ESM2-0","r1i1p1f1","ssp245","Hist(1992-2021)",2006
1015.56718089801,10.880915103455,0,0,0,"MRI-ESM2-0","r1i1p1f1","ssp370","Hist(1992-2021)",2006
1005.85918521146,10.9005001714622,0,0,0,"MRI-ESM2-0","r1i1p1f1","ssp585","Hist(1992-2021)",2006
1048.07856598434,10.8841306482264,0,0,0,"MRI-ESM2-0","r2i1p1f1","ssp370","Hist(1992-2021)",2006
1016.21926135867,10.962952029837,0,0,0,"MRI-ESM2-0","r3i1p1f1","ssp370","Hist(1992-2021)",2006
1108.90476635597,10.9459195106286,0,0,0,"MRI-ESM2-0","r4i1p1f1","ssp370","Hist(1992-2021)",2006
1026.10012907841,11.0527326038441,0,0,0,"MRI-ESM2-0","r5i1p1f1","ssp370","Hist(1992-2021)",2006
1012.48846375249,10.9166170171153,1.45225800674929,0.219918337707615,0.0735642697404533,"ACCESS-CM2","r1i1p1f1","ssp245","Fut(1993-2022)",2007
1067.66298552839,10.9268574424486,-0.349496304712142,0.171881516072103,0.074138725564568,"ACCESS-CM2","r1i1p1f1","ssp370","Fut(1993-2022)",2007
1029.73291731846,11.0426752787619,-0.36182586146475,0.109340100722817,0.0991534328273165,"ACCESS-CM2","r1i1p1f1","ssp585","Fut(1993-2022)",2007
1084.46716396326,11.0629186067048,0.301253762228764,0.149079771687152,0.0523172491887482,"ACCESS-CM2","r2i1p1f1","ssp245","Fut(1993-2022)",2007
1101.43798996639,10.9990212906147,-0.405656914645084,0.00459099732686372,0.0439664030174338,"ACCESS-CM2","r2i1p1f1","ssp370","Fut(1993-2022)",2007
1043.22454447681,11.1156511166798,-1.57976375300212,0.0859038478614022,0.0849476160584519,"ACCESS-CM2","r2i1p1f1","ssp585","Fut(1993-2022)",2007
1010.56818881704,11.1539226266641,-4.28777201557935,0.157126529007846,0.0704233021043876,"ACCESS-CM2","r3i1p1f1","ssp245","Fut(1993-2022)",2007
999.586113521454,11.1623374772243,-3.81968062469249,0.176900808250822,0.0644114384357302,"ACCESS-CM2","r3i1p1f1","ssp370","Fut(1993-2022)",2007
1014.5504766857,11.2165484102886,-2.62617043702775,0.104378293951419,0.0839671774538697,"ACCESS-CM2","r3i1p1f1","ssp585","Fut(1993-2022)",2007
1114.4456180372,11.0203324122343,1.30922961588225,-0.0262637285912905,0.0417008361442406,"CESM2-LENS","r1i1p1f1","ssp370","Fut(1993-2022)",2007
1048.21813349375,11.1353339601918,3.43304749894164,0.255526482220771,0.0657803010887541,"CESM2-LENS","r10i1p1f1","ssp370","Fut(1993-2022)",2007
1054.21503740731,11.0416924061366,1.20622359998665,0.134949757879815,0.0446803737063721,"CESM2-LENS","r4i1p1f1","ssp370","Fut(1993-2022)",2007
1053.4500025151,11.0934247239923,-0.221624776582694,0.0666425174274077,0.0559487092341975,"CESM2-LENS","r5i1p1f1","ssp370","Fut(1993-2022)",2007
971.964114212766,11.1183286120952,-1.66550410055608,0.103937261894143,0.0251494779276396,"CESM2-LENS","r6i1p1f1","ssp370","Fut(1993-2022)",2007
1084.70461045095,10.8362505838023,-3.02616796954014,-0.0666820708783656,0.0834034404009696,"CESM2-LENS","r7i1p1f1","ssp370","Fut(1993-2022)",2007
1034.35401702326,10.9937684437242,-1.27615639227628,0.0946770042449024,0.0862297293241614,"CESM2-LENS","r8i1p1f1","ssp370","Fut(1993-2022)",2007
1018.94530726991,11.170280140051,-1.26351879964192,-0.0244204514474061,0.0594969568380712,"CESM2-LENS","r9i1p1f1","ssp370","Fut(1993-2022)",2007
1047.08301484324,11.0022501801377,1.82399667555098,0.128847933733651,0.02984408443902,"CNRM-ESM2-1","r1i1p1f2","ssp245","Fut(1993-2022)",2007
999.229715478433,10.9847402288952,1.02845972914134,0.0239690839254792,0.0427818530188979,"CNRM-ESM2-1","r1i1p1f2","ssp370","Fut(1993-2022)",2007
1040.31225761468,11.0104800425036,0.248182885414213,-0.112415619014183,0.0338515519014138,"CNRM-ESM2-1","r1i1p1f2","ssp585","Fut(1993-2022)",2007
1121.7696946978,11.3039294046568,0.949638802790382,0.038497218779052,0.0417427534489416,"EC-EARTH3-VEG","r1i1p1f1","ssp245","Fut(1993-2022)",2007
1133.43242194928,11.2081373842715,0.637397128975086,0.00679464147137234,0.0270775282009215,"EC-EARTH3-VEG","r1i1p1f1","ssp370","Fut(1993-2022)",2007
