mvs,m,v,s,slope,intercept,pr_change_2043,pr_change_2070,pr_change_2050,base,2043,2050,2070
MIROC6_r1i1p1f1_ssp245,MIROC6,r1i1p1f1,ssp245,-1.973855047020475,5085.460907026474,-6.2,-10.8,-7.4,1153.541653361688,1082.4828716689508,1068.6658863398075,1029.188785399398
MIROC6_r2i1p1f1_ssp245,MIROC6,r2i1p1f1,ssp245,0.04312065161584351,1007.0717118682127,0.1,0.2,0.2,1092.968049886973,1094.5203933451432,1094.8222379064541,1095.684650938771
MIROC6_r3i1p1f1_ssp245,MIROC6,r3i1p1f1,ssp245,-0.6641482902925137,2444.078169833866,-2.1,-3.7,-2.5,1121.0947755711788,1097.1854371206484,1092.5363990886008,1079.2534332827504
MIROC6_r1i1p1f1_ssp370,MIROC6,r1i1p1f1,ssp370,-0.29719364551444205,1659.5562900618615,-1.0,-1.8,-1.2,1067.546548197093,1056.847576958573,1054.767221439972,1048.8233485296832
MIROC6_r2i1p1f1_ssp370,MIROC6,r2i1p1f1,ssp370,-1.537060366699615,4201.270440796816,-4.9,-8.5,-5.8,1139.4461903311826,1084.1120171299967,1073.3525945630995,1042.611387229107
MIROC6_r3i1p1f1_ssp370,MIROC6,r3i1p1f1,ssp370,0.3484098605471462,360.3697991226353,1.2,2.1,1.4,1054.4022413325506,1066.944996312248,1069.3838653360776,1076.3520625470208
MIROC6_r1i1p1f1_ssp585,MIROC6,r1i1p1f1,ssp585,-1.3675994724613574,3820.718815145032,-4.5,-7.9,-5.4,1096.460666002008,1047.2270849933989,1037.6538886861695,1010.3018992369425
MIROC6_r2i1p1f1_ssp585,MIROC6,r2i1p1f1,ssp585,0.775511563733724,-507.42245784193346,2.7,4.7,3.2,1037.3965771156447,1065.3149934100588,1070.7435743561948,1086.2538056308692
MIROC6_r3i1p1f1_ssp585,MIROC6,r3i1p1f1,ssp585,-1.1241912208096063,3396.760408027213,-3.5,-6.1,-4.2,1157.3714961744772,1116.9006122253313,1109.031273679664,1086.5474492634721
MIROC6_r4i1p1f1_ssp585,MIROC6,r4i1p1f1,ssp585,-0.17428435282578755,1415.7062812390284,-0.6,-1.0,-0.7,1068.5318504100596,1062.2576137083313,1061.0376232385506,1057.551936182035
MIROC6_r5i1p1f1_ssp585,MIROC6,r5i1p1f1,ssp585,-2.6443206975778812,6502.711416678992,-7.7,-13.5,-9.2,1235.2245871038522,1140.029041991048,1121.5187971080031,1068.632383156446
MPI-ESM1-2-HR_r1i1p1f1_ssp245,MPI-ESM1-2-HR,r1i1p1f1,ssp245,-0.17636334247864674,1432.549914903068,-0.6,-1.0,-0.7,1081.2341366856035,1074.8850563563724,1073.6505129590219,1070.123246109449
MPI-ESM1-2-HR_r2i1p1f1_ssp245,MPI-ESM1-2-HR,r2i1p1f1,ssp245,-1.2616883086598991,3630.9635846141664,-4.1,-7.1,-4.9,1117.6804737636476,1072.259694651891,1063.4278764912715,1038.1941103180739
MPI-ESM1-2-HR_r10i1p1f1_ssp370,MPI-ESM1-2-HR,r10i1p1f1,ssp370,-0.8618464621605428,2842.6314646666424,-2.8,-4.8,-3.3,1125.833312042841,1094.8068394050615,1088.7739141699378,1071.5369849267267
MPI-ESM1-2-HR_r1i1p1f1_ssp370,MPI-ESM1-2-HR,r1i1p1f1,ssp370,0.06436690221433991,947.8162713787899,0.2,0.4,0.3,1076.035140589755,1078.3523490694713,1078.8029173849716,1080.0902554292584
MPI-ESM1-2-HR_r2i1p1f1_ssp370,MPI-ESM1-2-HR,r2i1p1f1,ssp370,0.06162890182970978,973.6512267716488,0.2,0.4,0.2,1096.4159992164307,1098.6346396823003,1099.0660419951082,1100.2986200317023
MPI-ESM1-2-HR_r3i1p1f1_ssp370,MPI-ESM1-2-HR,r3i1p1f1,ssp370,-1.614000283184147,4375.549384524433,-5.0,-8.8,-6.0,1160.460820421612,1102.3568102269828,1091.0588082446939,1058.778802581011
MPI-ESM1-2-HR_r4i1p1f1_ssp370,MPI-ESM1-2-HR,r4i1p1f1,ssp370,-2.452772316728091,6018.4147335635025,-7.8,-13.6,-9.3,1132.4922786411453,1044.192475238934,1027.0230690218377,977.9676226872762
MPI-ESM1-2-HR_r5i1p1f1_ssp370,MPI-ESM1-2-HR,r5i1p1f1,ssp370,-0.5132909299159499,2120.7483239331186,-1.7,-2.9,-2.0,1098.2727915405462,1079.794318063572,1076.2012815541605,1065.9354629558416
MPI-ESM1-2-HR_r6i1p1f1_ssp370,MPI-ESM1-2-HR,r6i1p1f1,ssp370,0.43761281490723386,203.06452137374094,1.5,2.6,1.8,1074.7892486689507,1090.5433100056111,1093.6065997099618,1102.3588560081066
MPI-ESM1-2-HR_r7i1p1f1_ssp370,MPI-ESM1-2-HR,r7i1p1f1,ssp370,-1.023773985494126,3150.1354611175166,-3.3,-5.8,-4.0,1110.7776820132178,1073.9218185354293,1066.7554006369705,1046.279920927088
MPI-ESM1-2-HR_r8i1p1f1_ssp370,MPI-ESM1-2-HR,r8i1p1f1,ssp370,0.577561187764304,-113.78909763086313,2.0,3.5,2.4,1036.7127883956305,1057.5049911551453,1061.5479194694956,1073.0991432247815
MPI-ESM1-2-HR_r9i1p1f1_ssp370,MPI-ESM1-2-HR,r9i1p1f1,ssp370,0.2368339127607326,616.1552689453201,0.8,1.4,0.9,1087.9284231646993,1096.454444024086,1098.112281413411,1102.8489596686256
MPI-ESM1-2-HR_r1i1p1f1_ssp585,MPI-ESM1-2-HR,r1i1p1f1,ssp585,-1.8347805328483924,4783.797336711669,-5.9,-10.2,-7.0,1128.9145152776714,1062.8624160951294,1050.0189523651907,1013.3233417082229
MPI-ESM1-2-HR_r2i1p1f1_ssp585,MPI-ESM1-2-HR,r2i1p1f1,ssp585,-1.212750772262861,3499.5358912064976,-4.0,-7.0,-4.8,1083.7363528588785,1040.0773250574157,1031.5880696515756,1007.3330542063181
MRI-ESM2-0_r1i1p1f1_ssp245,MRI-ESM2-0,r1i1p1f1,ssp245,0.11598099561527042,816.0784565581963,0.4,0.7,0.5,1047.112599823815,1051.2879156659646,1052.0997826352716,1054.419402547577
MRI-ESM2-0_r1i1p1f1_ssp370,MRI-ESM2-0,r1i1p1f1,ssp370,1.3947178588408784,-1699.1214138707746,4.7,8.1,5.6,1079.156560940255,1129.3664038585266,1139.129428870413,1167.0237860472303
MRI-ESM2-0_r2i1p1f1_ssp370,MRI-ESM2-0,r2i1p1f1,ssp370,0.6849044080100984,-245.34714184338986,2.2,3.9,2.6,1118.9824389127261,1143.6389976010898,1148.4333284571605,1162.1314166173624
MRI-ESM2-0_r3i1p1f1_ssp370,MRI-ESM2-0,r3i1p1f1,ssp370,2.519739658255139,-3995.1155803678594,8.9,15.5,10.6,1024.2058188763767,1114.916446573562,1132.5546241813481,1182.949417346451
MRI-ESM2-0_r4i1p1f1_ssp370,MRI-ESM2-0,r4i1p1f1,ssp370,0.23364347295640706,685.3122527715719,0.7,1.3,0.9,1150.7300509007348,1159.1412159271654,1160.7767202378602,1165.4495896969884
MRI-ESM2-0_r5i1p1f1_ssp370,MRI-ESM2-0,r5i1p1f1,ssp370,-0.9089047798493216,2906.869388467565,-3.0,-5.2,-3.6,1096.3310670077162,1063.6104949331407,1057.2481614741955,1039.0700658772091
MRI-ESM2-0_r1i1p1f1_ssp585,MRI-ESM2-0,r1i1p1f1,ssp585,0.6671666260070248,-286.22509328245724,2.3,4.0,2.8,1042.7708257235363,1066.7888242597892,1071.4589906418382,1084.8023231619788
