period,mvs,window,n_windows,min_window_avg_pr
historical,IPSL-CM6A-LR_r1i1p1f1_ssp245,20,46,988.5102002502566
historical,IPSL-CM6A-LR_r2i1p1f1_ssp245,2,64,646.9154061714835
historical,IPSL-CM6A-LR_r2i1p1f1_ssp245,5,61,883.6160847352745
historical,IPSL-CM6A-LR_r2i1p1f1_ssp245,10,56,1013.2159508399549
historical,IPSL-CM6A-LR_r2i1p1f1_ssp245,15,51,1034.866625687616
historical,IPSL-CM6A-LR_r2i1p1f1_ssp245,20,46,1080.4349519664481
historical,IPSL-CM6A-LR_r3i1p1f1_ssp245,2,64,517.3349441474647
historical,IPSL-CM6A-LR_r3i1p1f1_ssp245,5,61,771.098625058186
historical,IPSL-CM6A-LR_r3i1p1f1_ssp245,10,56,857.4784329639318
historical,IPSL-CM6A-LR_r3i1p1f1_ssp245,15,51,912.9626758010519
historical,IPSL-CM6A-LR_r3i1p1f1_ssp245,20,46,927.8855956557842
historical,IPSL-CM6A-LR_r4i1p1f1_ssp245,2,64,679.4685134091887
historical,IPSL-CM6A-LR_r4i1p1f1_ssp245,5,61,756.7832531493084
historical,IPSL-CM6A-LR_r4i1p1f1_ssp245,10,56,869.6364651318851
historical,IPSL-CM6A-LR_r4i1p1f1_ssp245,15,51,887.5091298022758
historical,IPSL-CM6A-LR_r4i1p1f1_ssp245,20,46,893.9070423099569
historical,IPSL-CM6A-LR_r5i1p1f1_ssp245,2,64,641.057970354369
historical,IPSL-CM6A-LR_r5i1p1f1_ssp245,5,61,752.0751217776727
historical,IPSL-CM6A-LR_r5i1p1f1_ssp245,10,56,826.9441368660584
historical,IPSL-CM6A-LR_r5i1p1f1_ssp245,15,51,883.3576258567041
historical,IPSL-CM6A-LR_r5i1p1f1_ssp245,20,46,929.5547951392342
historical,IPSL-CM6A-LR_r6i1p1f1_ssp370,2,64,624.2343513465057
historical,IPSL-CM6A-LR_r6i1p1f1_ssp370,5,61,695.1940844429919
historical,IPSL-CM6A-LR_r6i1p1f1_ssp370,10,56,828.4220093487078
historical,IPSL-CM6A-LR_r6i1p1f1_ssp370,15,51,932.9375012388531
historical,IPSL-CM6A-LR_r6i1p1f1_ssp370,20,46,959.7767660353104
historical,IPSL-CM6A-LR_r7i1p1f1_ssp370,2,64,625.6123162692948
historical,IPSL-CM6A-LR_r7i1p1f1_ssp370,5,61,808.2869220324443
historical,IPSL-CM6A-LR_r7i1p1f1_ssp370,10,56,950.3294988098711
historical,IPSL-CM6A-LR_r7i1p1f1_ssp370,15,51,1024.5288970727913
historical,IPSL-CM6A-LR_r7i1p1f1_ssp370,20,46,1057.8019718500714
historical,IPSL-CM6A-LR_r8i1p1f1_ssp370,2,64,649.1654774829294
historical,IPSL-CM6A-LR_r8i1p1f1_ssp370,5,61,888.1477137891328
historical,IPSL-CM6A-LR_r8i1p1f1_ssp370,10,56,962.1862791377404
historical,IPSL-CM6A-LR_r8i1p1f1_ssp370,15,51,1014.6805754985559
historical,IPSL-CM6A-LR_r8i1p1f1_ssp370,20,46,1015.6115096910673
historical,IPSL-CM6A-LR_r9i1p1f1_ssp370,2,64,652.483569195856
historical,IPSL-CM6A-LR_r9i1p1f1_ssp370,5,61,725.796102863282
historical,IPSL-CM6A-LR_r9i1p1f1_ssp370,10,56,899.8734143585316
historical,IPSL-CM6A-LR_r9i1p1f1_ssp370,15,51,925.7340337451441
historical,IPSL-CM6A-LR_r9i1p1f1_ssp370,20,46,963.8606437292292
historical,KACE-1-0-G_r1i1p1f1_ssp245,2,64,527.5041820434271
historical,KACE-1-0-G_r1i1p1f1_ssp245,5,61,756.5611026594364
historical,KACE-1-0-G_r1i1p1f1_ssp245,10,56,938.9753632234803
historical,KACE-1-0-G_r1i1p1f1_ssp245,15,51,944.66285273239
historical,KACE-1-0-G_r1i1p1f1_ssp245,20,46,1037.622570534136
historical,KACE-1-0-G_r2i1p1f1_ssp245,2,64,679.5821783331612
historical,KACE-1-0-G_r2i1p1f1_ssp245,5,61,854.2076315538725
historical,KACE-1-0-G_r2i1p1f1_ssp245,10,56,904.8560151104248
historical,KACE-1-0-G_r2i1p1f1_ssp245,15,51,923.0319068037827
historical,KACE-1-0-G_r2i1p1f1_ssp245,20,46,953.4019756955717
historical,KACE-1-0-G_r3i1p1f1_ssp245,2,64,469.93349483784186
historical,KACE-1-0-G_r3i1p1f1_ssp245,5,61,694.1445315185308
historical,KACE-1-0-G_r3i1p1f1_ssp245,10,56,853.573471817654
historical,KACE-1-0-G_r3i1p1f1_ssp245,15,51,924.3958470702977
historical,KACE-1-0-G_r3i1p1f1_ssp245,20,46,930.6547041807122
historical,MIROC6_r1i1p1f1_ssp245,2,64,551.036876312086
historical,MIROC6_r1i1p1f1_ssp245,5,61,760.1538723841867
historical,MIROC6_r1i1p1f1_ssp245,10,56,906.5434921717048
historical,MIROC6_r1i1p1f1_ssp245,15,51,972.319465686984
historical,MIROC6_r1i1p1f1_ssp245,20,46,1004.0634923979167
historical,MIROC6_r2i1p1f1_ssp245,2,64,497.2670615847637
historical,MIROC6_r2i1p1f1_ssp245,5,61,700.906546412046
historical,MIROC6_r2i1p1f1_ssp245,10,56,892.0673230991318
historical,MIROC6_r2i1p1f1_ssp245,15,51,896.9680501861086
historical,MIROC6_r2i1p1f1_ssp245,20,46,936.599355352308
historical,MIROC6_r3i1p1f1_ssp245,2,64,616.0567261601318
historical,MIROC6_r3i1p1f1_ssp245,5,61,807.5457989443166
historical,MIROC6_r3i1p1f1_ssp245,10,56,906.5226966568683
historical,MIROC6_r3i1p1f1_ssp245,15,51,954.2039842251829
historical,MIROC6_r3i1p1f1_ssp245,20,46,960.8916283308772
historical,MIROC6_r4i1p1f1_ssp585,2,64,574.8275121481856
historical,MIROC6_r4i1p1f1_ssp585,5,61,797.509938570873
historical,MIROC6_r4i1p1f1_ssp585,10,56,880.7506325289844
historical,MIROC6_r4i1p1f1_ssp585,15,51,913.7419067460942
historical,MIROC6_r4i1p1f1_ssp585,20,46,930.6625660986538
historical,MIROC6_r5i1p1f1_ssp585,2,64,511.96659677072057
historical,MIROC6_r5i1p1f1_ssp585,5,61,824.7104849621013
historical,MIROC6_r5i1p1f1_ssp585,10,56,936.5949448586729
historical,MIROC6_r5i1p1f1_ssp585,15,51,1017.827904770258
historical,MIROC6_r5i1p1f1_ssp585,20,46,1041.6891113063025
historical,MPI-ESM1-2-HR_r10i1p1f1_ssp370,2,64,616.1051532556849
historical,MPI-ESM1-2-HR_r10i1p1f1_ssp370,5,61,730.5198716650615
historical,MPI-ESM1-2-HR_r10i1p1f1_ssp370,10,56,819.5528306524562
historical,MPI-ESM1-2-HR_r10i1p1f1_ssp370,15,51,867.464292746913
historical,MPI-ESM1-2-HR_r10i1p1f1_ssp370,20,46,896.6543508925421
historical,MPI-ESM1-2-HR_r1i1p1f1_ssp245,2,64,602.7970572510167
historical,MPI-ESM1-2-HR_r1i1p1f1_ssp245,5,61,758.6133141906306
historical,MPI-ESM1-2-HR_r1i1p1f1_ssp245,10,56,879.6786973037451
historical,MPI-ESM1-2-HR_r1i1p1f1_ssp245,15,51,880.8757669967711
historical,MPI-ESM1-2-HR_r1i1p1f1_ssp245,20,46,933.347935099873
historical,MPI-ESM1-2-HR_r2i1p1f1_ssp245,2,64,704.0103744371299
historical,MPI-ESM1-2-HR_r2i1p1f1_ssp245,5,61,754.9423388997639
historical,MPI-ESM1-2-HR_r2i1p1f1_ssp245,10,56,937.9586018625611
historical,MPI-ESM1-2-HR_r2i1p1f1_ssp245,15,51,953.8329363389273
