mvs,m,v,s,slope,intercept,r2,pvalue,slope95,intercept95,base,2043,2050,2070,pr_change_2043,pr_change_2070,pr_change_2050
MIROC6_r5i1p1f1_ssp585,MIROC6,r5i1p1f1,ssp585,-1.5244499566886243,4230.646642288677,-0.8654546007035576,3.752957756908135e-28,0.18694572180417376,384.2976214494528,1148.2088298642789,1093.3286314234883,1082.6574817266678,1052.1684825928955,-4.8,-8.4,-5.7
MPI-ESM1-2-HR_r1i1p1f1_ssp245,MPI-ESM1-2-HR,r1i1p1f1,ssp245,-0.09473540866844621,1232.4737431610426,-0.07202179571582068,0.499939680756734,0.2779322636755182,571.3353952354482,1040.9187468334444,1037.5082721213803,1036.8451242607011,1034.9504160873323,-0.3,-0.6,-0.4
MPI-ESM1-2-HR_r2i1p1f1_ssp245,MPI-ESM1-2-HR,r2i1p1f1,ssp245,-1.124904913130182,3361.745092210441,-0.8164680852248929,1.0555443601424125e-22,0.16852571000782754,346.43226324766545,1087.1873578612126,1046.690780988526,1038.8164465966147,1016.3183483340113,-3.7,-6.5,-4.4
MPI-ESM1-2-HR_r10i1p1f1_ssp370,MPI-ESM1-2-HR,r10i1p1f1,ssp370,-0.44788669262324854,1982.1168467874857,-0.28973548041710373,0.005606858573416794,0.313434460597625,644.3159892909102,1076.489954303277,1060.3660333688401,1057.2308265204774,1048.2730926680124,-1.5,-2.6,-1.8
MPI-ESM1-2-HR_r1i1p1f1_ssp370,MPI-ESM1-2-HR,r1i1p1f1,ssp370,0.6207082080001849,-230.11761813414864,0.535303778315242,5.452080908733062e-08,0.20748599661442252,426.5215283531114,1024.954378442225,1047.2998739302318,1051.6448313862331,1064.058995546237,2.2,3.8,2.6
MPI-ESM1-2-HR_r2i1p1f1_ssp370,MPI-ESM1-2-HR,r2i1p1f1,ssp370,-0.292114630720342,1671.9882179090166,-0.21695358360797606,0.0399791093179923,0.2784435248652686,572.3863765430938,1081.3324345924852,1070.8163078865527,1068.7715054715104,1062.9292128571037,-1.0,-1.7,-1.2
MPI-ESM1-2-HR_r3i1p1f1_ssp370,MPI-ESM1-2-HR,r3i1p1f1,ssp370,-1.6183617855120018,4385.629470407548,-0.7713811149341792,5.816090442716116e-19,0.28283851641325325,581.4210031816759,1113.3019401022802,1055.0409158238485,1043.7123833252645,1011.3451476150244,-5.2,-9.2,-6.3
MPI-ESM1-2-HR_r4i1p1f1_ssp370,MPI-ESM1-2-HR,r4i1p1f1,ssp370,-1.9343937458309386,5003.079967341796,-0.8280833905763327,7.762739882799477e-24,0.2774262855653112,570.2952741651104,1091.735813271638,1022.0976384217242,1008.5568822009077,969.8690072842892,-6.4,-11.2,-7.6
MPI-ESM1-2-HR_r5i1p1f1_ssp370,MPI-ESM1-2-HR,r5i1p1f1,ssp370,-0.115734107812801,1276.2436224985868,-0.05727322433297358,0.5918294043729366,0.42738192821349497,878.5537153664887,1042.2292565011032,1038.0628286198423,1037.2526898651527,1034.9380077088967,-0.4,-0.7,-0.5
MPI-ESM1-2-HR_r6i1p1f1_ssp370,MPI-ESM1-2-HR,r6i1p1f1,ssp370,0.8112950776848238,-627.659191561534,0.4332474988415831,1.9966900879524254e-05,0.35753616487161755,734.9742824617792,1012.7794555171797,1041.9860783138333,1047.665143857627,1063.8910454113236,2.9,5.0,3.4
MPI-ESM1-2-HR_r7i1p1f1_ssp370,MPI-ESM1-2-HR,r7i1p1f1,ssp370,-0.857113344070173,2796.928141728562,-0.4727432913601048,2.5408716135954213e-06,0.33845999773854557,695.7600892464301,1063.844960018672,1032.9888796321459,1026.9890862236546,1009.8468193422511,-2.9,-5.1,-3.5
MPI-ESM1-2-HR_r8i1p1f1_ssp370,MPI-ESM1-2-HR,r8i1p1f1,ssp370,1.0227830423383517,-1075.6840133985706,0.5503346634196916,1.9195761391932053e-08,0.32872593254220145,675.7501202250078,992.3832982095764,1029.2034877337574,1036.3629690301254,1056.8186298768928,3.7,6.5,4.4
MPI-ESM1-2-HR_r9i1p1f1_ssp370,MPI-ESM1-2-HR,r9i1p1f1,ssp370,0.5846786030158185,-129.7263661024233,0.4227954338636332,3.3051964592645646e-05,0.265486782506404,545.7516655575126,1052.4937691955618,1073.5421989041313,1077.634949125242,1089.3285211855584,2.0,3.5,2.4
MPI-ESM1-2-HR_r1i1p1f1_ssp585,MPI-ESM1-2-HR,r1i1p1f1,ssp585,-1.3870560735484585,3898.0623503915913,-0.5623053845879128,8.050844441249454e-09,0.43212582762711826,888.3055794019791,1093.434969676608,1043.5009510288637,1033.7915585140245,1006.0504370430554,-4.6,-8.0,-5.5
MPI-ESM1-2-HR_r2i1p1f1_ssp585,MPI-ESM1-2-HR,r2i1p1f1,ssp585,-0.8039720063400589,2677.221441727407,-0.5055080236444545,3.738601953302775e-07,0.29070594765777164,597.5937996757973,1051.590044907808,1022.6470526795658,1017.0192486351855,1000.9398085083842,-2.8,-4.8,-3.3
MRI-ESM2-0_r1i1p1f1_ssp245,MRI-ESM2-0,r1i1p1f1,ssp245,0.025362404758625192,976.9832162851172,0.022296079494963,0.8347695822212982,0.24092054255631246,495.2517263790921,1028.2659987070574,1029.179045278368,1029.3565821116783,1029.8638302068507,0.1,0.2,0.1
MRI-ESM2-0_r1i1p1f1_ssp370,MRI-ESM2-0,r1i1p1f1,ssp370,1.290338160115801,-1578.5717090675005,0.8368761178257372,9.419958151691895e-25,0.17879730006728264,367.54720286894917,1030.4920506866495,1076.944224450818,1085.9765915716287,1111.783354773945,4.5,7.9,5.4
MRI-ESM2-0_r2i1p1f1_ssp370,MRI-ESM2-0,r2i1p1f1,ssp370,0.42192068395785604,213.52767561768417,0.4273564862677482,2.6580693174116047e-05,0.18909010259929154,388.7057482099511,1066.651298580469,1081.840443202952,1084.793887990657,1093.232301669814,1.4,2.5,1.7
MRI-ESM2-0_r3i1p1f1_ssp370,MRI-ESM2-0,r3i1p1f1,ssp370,2.655553042930756,-4399.250695823085,0.7153215366109473,2.3565608387596827e-15,0.5495707853765192,1129.7329706187948,970.2775569829037,1065.8774665284109,1084.466337828926,1137.577398687541,9.9,17.2,11.8
MRI-ESM2-0_r4i1p1f1_ssp370,MRI-ESM2-0,r4i1p1f1,ssp370,0.5059392765557195,73.09521906901341,0.4063078696326062,7.081503955155092e-05,0.24103709941233487,495.4913281314123,1096.104436264678,1114.3182502206841,1117.859825156574,1127.9786106876884,1.7,2.9,2.0
MRI-ESM2-0_r5i1p1f1_ssp370,MRI-ESM2-0,r5i1p1f1,ssp370,-0.4411168138162675,1934.4570276786803,-0.28735779233088005,0.006029302438371707,0.3114841256654092,640.3067556574953,1042.5188301421874,1026.6386248448018,1023.550807148088,1014.7284708717626,-1.5,-2.7,-1.8
MRI-ESM2-0_r1i1p1f1_ssp585,MRI-ESM2-0,r1i1p1f1,ssp585,1.1539483228027674,-1345.778857466926,0.7394667059978731,8.549180591979668e-17,0.22254984307308412,457.48773773236326,987.5046512402698,1029.0467908611693,1037.1244291207888,1060.203395576844,4.2,7.4,5.0
