period,mvs,window,n_windows,min_window_avg_pr
historical,EC-Earth3-Veg_r4i1p1f1_ssp245,10,56,962.8774592563495
historical,EC-Earth3-Veg_r4i1p1f1_ssp245,15,51,1114.5963373689717
historical,EC-Earth3-Veg_r4i1p1f1_ssp245,20,46,1127.9789174401437
historical,EC-Earth3-Veg_r4i1p1f1_ssp370,2,64,654.0157754333413
historical,EC-Earth3-Veg_r4i1p1f1_ssp370,5,61,897.5326505264632
historical,EC-Earth3-Veg_r4i1p1f1_ssp370,10,56,962.8774592563495
historical,EC-Earth3-Veg_r4i1p1f1_ssp370,15,51,1114.5963373689717
historical,EC-Earth3-Veg_r4i1p1f1_ssp370,20,46,1127.9789174401437
historical,EC-Earth3-Veg_r4i1p1f1_ssp585,2,64,654.0157754333413
historical,EC-Earth3-Veg_r4i1p1f1_ssp585,5,61,897.5326505264632
historical,EC-Earth3-Veg_r4i1p1f1_ssp585,10,56,962.8774592563495
historical,EC-Earth3-Veg_r4i1p1f1_ssp585,15,51,1114.5963373689717
historical,EC-Earth3-Veg_r4i1p1f1_ssp585,20,46,1127.9789174401437
historical,EC-Earth3-Veg_r5i1p1f1_ssp245,2,64,658.7294068766241
historical,EC-Earth3-Veg_r5i1p1f1_ssp245,5,61,759.379770799345
historical,EC-Earth3-Veg_r5i1p1f1_ssp245,10,56,949.6233567053372
historical,EC-Earth3-Veg_r5i1p1f1_ssp245,15,51,1021.223275730218
historical,EC-Earth3-Veg_r5i1p1f1_ssp245,20,46,1078.184322804345
historical,EC-Earth3_r1i1p1f1_ssp245,2,64,610.4952763240908
historical,EC-Earth3_r1i1p1f1_ssp245,5,61,929.0692923199233
historical,EC-Earth3_r1i1p1f1_ssp245,10,56,1041.8076194145501
historical,EC-Earth3_r1i1p1f1_ssp245,15,51,1107.9226636213943
historical,EC-Earth3_r1i1p1f1_ssp245,20,46,1097.8755990148366
historical,EC-Earth3_r1i1p1f1_ssp370,2,64,610.4952763240908
historical,EC-Earth3_r1i1p1f1_ssp370,5,61,929.0692923199233
historical,EC-Earth3_r1i1p1f1_ssp370,10,56,1041.8076194145501
historical,EC-Earth3_r1i1p1f1_ssp370,15,51,1107.9226636213943
historical,EC-Earth3_r1i1p1f1_ssp370,20,46,1097.8755990148366
