"Model","SSP","Pr_total","Tas_mean","D_pr","D_pr_lm","D_tas","Variant","Year","period","model_ssp"
"ACCESS-CM2","ssp370",1038.17760447566,11.2118483941468,-3.17359600274049,0.471164428866413,0.243281846390172,NA,"Fut(1996-2025)",2010,NA
"ACCESS-CM2","ssp585",1030.00651148546,11.3545318464464,-1.44593518010404,0.399496323380844,0.318929653316154,NA,"Fut(1996-2025)",2010,NA
"CESM2-LENS","ssp370",1048.48379584407,11.1814732999739,-0.115863389120172,0.269183386374962,0.188095617778467,NA,"Fut(1996-2025)",2010,NA
"EC-EARTH3","ssp245",1072.88377307003,11.0072857336269,-1.44325938331313,0.136722425915727,0.194214834680022,NA,"Fut(1996-2025)",2010,NA
"EC-EARTH3","ssp370",1024.36160086078,11.0762502971284,-3.20712251791256,-0.2178281209134,0.254927626663179,NA,"Fut(1996-2025)",2010,NA
"EC-EARTH3","ssp585",1101.54385945553,10.8966329279828,-1.27555816655303,-0.402485267449953,0.146542980010125,NA,"Fut(1996-2025)",2010,NA
"EC-EARTH3-VEG","ssp245",1090.10156241618,11.3197043550651,1.55886930919651,-0.0237416655093624,0.213309046453992,NA,"Fut(1996-2025)",2010,NA
"EC-EARTH3-VEG","ssp370",1107.30275380901,11.1476742934674,2.63980103067164,0.0411364120843647,0.160207560826906,NA,"Fut(1996-2025)",2010,NA
"EC-EARTH3-VEG","ssp585",1098.01831173882,11.2654113107363,3.05981992448535,0.0283563233161029,0.208327152880827,NA,"Fut(1996-2025)",2010,NA
"FGOALS-G3","ssp245",1092.89110824701,11.0069831093447,0.109203162650994,-0.0967169781246944,0.191553985135801,NA,"Fut(1996-2025)",2010,NA
"FGOALS-G3","ssp370",1031.82311761206,11.098216391434,0.985945962282407,0.538166162867217,0.175006255417538,NA,"Fut(1996-2025)",2010,NA
"FGOALS-G3","ssp585",1061.95128625641,11.1022580868032,-2.43861344287505,0.924675242263167,0.187871712434207,NA,"Fut(1996-2025)",2010,NA
"INM-CM5-0","ssp370",1062.21130238233,10.9270469603113,0.144059561011903,-0.137370746381049,0.164237008629678,NA,"Fut(1996-2025)",2010,NA
"IPSL-CM6A-LR","ssp245",1072.76603085248,11.1320608513852,0.389556159986263,-0.0161282251291968,0.133452271585552,NA,"Fut(1996-2025)",2010,NA
"IPSL-CM6A-LR","ssp370",1055.00988651503,11.1386950814393,-0.770862692911486,0.0445519440204912,0.151142772791973,NA,"Fut(1996-2025)",2010,NA
"IPSL-CM6A-LR","ssp585",1071.59160975847,11.1148536073607,0.167758586288045,-0.20485214413361,0.142161919795722,NA,"Fut(1996-2025)",2010,NA
"KACE-1-0-G","ssp245",1048.75309970182,11.4657625720199,-1.58123093125523,0.0746761465921811,0.281939531619219,NA,"Fut(1996-2025)",2010,NA
"KACE-1-0-G","ssp370",1057.9102419887,11.4699353342089,-0.145676331887717,0.0689394485185085,0.29446377555054,NA,"Fut(1996-2025)",2010,NA
"KACE-1-0-G","ssp585",1027.07568882503,11.4338699850603,-4.79229241429146,0.194068222322003,0.280621559866217,NA,"Fut(1996-2025)",2010,NA
"MIROC6","ssp245",1055.78510522446,11.1286379282837,-0.0664654440537649,-0.301877815457831,0.204149324447604,NA,"Fut(1996-2025)",2010,NA
"MIROC6","ssp370",1043.78099591616,11.0558579065324,-0.340596622075302,-0.172921300407075,0.194700574676149,NA,"Fut(1996-2025)",2010,NA
"MIROC6","ssp585",1059.77221983456,11.0399276698337,0.145438359331931,-0.301994297898216,0.191234709021032,NA,"Fut(1996-2025)",2010,NA
"MPI-ESM1-2-HR","ssp245",1081.85683753212,10.9864105517368,1.74210910459732,-0.258391652421637,0.1198305558793,NA,"Fut(1996-2025)",2010,NA
"MPI-ESM1-2-HR","ssp370",1062.52399443928,10.9112864143749,-0.44376574472662,-0.176528350286139,0.106248590132692,NA,"Fut(1996-2025)",2010,NA
"MPI-ESM1-2-HR","ssp585",1068.77850773423,10.9472130395277,1.61177736425415,-0.548861353572781,0.112773189398421,NA,"Fut(1996-2025)",2010,NA
